mag_x (uT),mag_y (uT),mag_z (uT)
3.267278124327991407e+01,1.067531183623706553e-02,3.777789727662737818e+01
3.270059183377535561e+01,6.045008897322872408e-03,3.777424302286666347e+01
3.269259813830010586e+01,-1.318164773624313710e-02,3.778845713921343474e+01
3.266959926334200048e+01,-1.592600406804395644e-02,3.778082005812045452e+01
3.268639315600992035e+01,1.433909085884960653e-02,3.779021178247662505e+01
3.266754825798707174e+01,-5.533364004745609105e-03,3.778482643099236071e+01
3.267505348954459521e+01,-5.584903043412700087e-03,3.779038627891868174e+01
3.269445692774505119e+01,2.442993034580143077e-03,3.779170474279950298e+01
3.269402952527664041e+01,4.224973260160315956e-03,3.779209718510647065e+01
3.270356511203425498e+01,7.522713627280432774e-03,3.778532367456882923e+01
3.269389423596146571e+01,-4.222779408045467496e-03,3.777227170783142896e+01
3.268886009671025050e+01,-1.063958998040563653e-02,3.779447540006648865e+01
3.268376758733482035e+01,1.474951635567262921e-02,3.778176955712134344e+01
3.268950348913572412e+01,-2.335010610632478386e-03,3.779974189943530405e+01
3.270642901897248578e+01,1.454091864993085383e-02,3.779979787474052699e+01
3.269677111068798325e+01,1.714302332718100133e-02,3.778439851983745257e+01
3.268873849679570043e+01,1.837083295815337969e-02,3.779532305814037585e+01
3.269984577189146790e+01,2.472630418869363814e-02,3.778669330739443666e+01
3.270489724522058594e+01,6.249325838701791196e-03,3.780508804631481468e+01
3.271018233724066704e+01,1.089709624435252627e-02,3.777616794702223757e+01
3.269053723186038951e+01,5.188034885505808658e-03,3.780416557247756515e+01
3.269739130690040696e+01,4.772180800394949102e-03,3.779940318699271273e+01
3.269214361574449157e+01,-2.087236207554601236e-03,3.779704344268031235e+01
3.269830526281266714e+01,-6.737942190018512446e-03,3.782279599122829694e+01
3.269615759321353465e+01,1.565342627839829900e-02,3.779424029834819976e+01
3.269801526253922219e+01,1.446665497201538031e-02,3.777584510064987455e+01
3.267423471730688789e+01,1.050503456593623181e-02,3.778013789043784953e+01
3.268954052633571195e+01,-2.459030479930696469e-02,3.778363480966140742e+01
3.269687733082093217e+01,1.085082469893985588e-02,3.778578018683191431e+01
3.269392620079329248e+01,1.044677434516921855e-02,3.778012292750190682e+01
3.270395610713323009e+01,-4.283534897579405198e-03,3.779772244952705762e+01
3.268137659131226513e+01,1.881214247740666673e-02,3.779131815443298592e+01
3.270265106480920991e+01,1.465565851986422438e-03,3.777879539168136347e+01
3.268280269730722409e+01,5.165222610931864688e-03,3.777539608139466054e+01
3.270571791900174929e+01,2.489050145844725215e-03,3.778181357177378885e+01
3.268334517438033515e+01,-2.540151785914292540e-02,3.779936032667040990e+01
3.271023221239342149e+01,7.391213743738435198e-03,3.778255144395212284e+01
3.271032829070379933e+01,-1.213860006380332313e-02,3.777513837882504788e+01
3.270489583853613169e+01,2.037866465426638185e-02,3.780078554742945585e+01
3.267924756010798149e+01,1.351046442622300418e-03,3.777677190093398707e+01
3.269723886159717807e+01,7.731191027135586417e-03,3.779980874397531920e+01
3.268356631787079891e+01,-4.867750831986928685e-03,3.777512037555224822e+01
3.268917773866225929e+01,-6.604967928682421545e-03,3.777377037450599317e+01
3.269170934992419575e+01,2.153366538189827387e-02,3.777821249403427828e+01
3.268095080593546697e+01,-3.174059790135495135e-03,3.777818862553614565e+01
3.267926970855148738e+01,-8.587360478036267300e-03,3.777763691312293304e+01
3.269340427326199716e+01,1.099631484577942402e-02,3.780088133619009483e+01
3.269878167520342771e+01,1.028985285293710500e-02,3.778448400223836501e+01
3.267134531677857012e+01,7.272739549449143588e-03,3.776969431314272185e+01
3.270538143757991634e+01,-1.155711154061846158e-02,3.778214249307287531e+01
3.267382583553377629e+01,4.291302169429057033e-03,3.777233629587291830e+01
3.269833319578130215e+01,-8.008242475792600248e-03,3.777351114164065393e+01
3.269716733017182975e+01,1.730056237868294114e-02,3.778688473412653792e+01
3.269359751551866822e+01,1.180308362570499370e-02,3.777018522266906331e+01
3.268246862792903329e+01,1.315119175844669391e-02,3.777935394279982972e+01
3.271023704952388300e+01,-7.909587483937613114e-03,3.779478606070884439e+01
3.268965075052520319e+01,-5.329644311458457684e-03,3.779089525909265035e+01
3.270411055345810780e+01,1.245823658367841043e-02,3.778780951621508422e+01
3.270336157005016275e+01,-1.747371068674370698e-02,3.778831687662651007e+01
3.269795270982447022e+01,1.611296794784726830e-02,3.779766637616383917e+01
3.270847854718271464e+01,1.662237480269061762e-02,3.780066042969522044e+01
3.269135068558809110e+01,1.088979400412306946e-02,3.778400379101099560e+01
3.269924126492121985e+01,-1.235449489042103697e-03,3.776824866102730738e+01
3.269017491749324478e+01,-1.198641914723150466e-02,3.778806841574332509e+01
3.269782491286554915e+01,5.658598262900128677e-03,3.779373437430262328e+01
3.269010546923304616e+01,-1.864166153700832010e-03,3.778619071418525266e+01
3.269161158456890348e+01,9.960802729790042137e-03,3.778953770640070786e+01
3.270136611945173399e+01,5.687687731902213613e-04,3.778599378820567978e+01
3.268328602687767415e+01,-1.091688090758250081e-02,3.777713522496314624e+01
3.267811185279575881e+01,6.570966103502086375e-03,3.778210387290508265e+01
3.267738215403859670e+01,-1.738348847237820502e-02,3.777863579494876944e+01
3.270203075444061369e+01,-1.274186066777806443e-02,3.779814378641962946e+01
3.270174490120357547e+01,-1.146234469267607033e-02,3.779122150822703219e+01
3.269569149126052565e+01,-1.087458786236617479e-02,3.778681150827708990e+01
3.269127842785268001e+01,-1.091798697783731347e-03,3.779962931224837064e+01
3.268143138603257114e+01,1.380346860014094491e-02,3.778892442300704602e+01
3.269873516478715914e+01,-4.890715680207773260e-04,3.777805611053082657e+01
3.268225222060979007e+01,-1.887925838041353693e-02,3.779497227243732738e+01
3.269177868522810826e+01,1.137161037842093422e-02,3.779514192197984102e+01
3.267904198072871935e+01,1.736649126184542508e-02,3.779144297699717470e+01
3.269526040735935624e+01,1.877698587989335907e-02,3.779493857423292980e+01
3.269844951588260074e+01,-3.280965481925381816e-03,3.779006824391882446e+01
3.269516876717400322e+01,-1.700059694784842104e-02,3.775901150623678149e+01
3.269281076976481160e+01,-2.542233386990621485e-03,3.779100622365879047e+01
3.269097982702259486e+01,-1.045436639521241974e-02,3.778552573972842055e+01
3.268701661642893441e+01,-4.877807326336008192e-03,3.777922242995099822e+01
3.270189054406225182e+01,9.651899054322158125e-03,3.778606939712043555e+01
3.267535725908628308e+01,1.798146948629503541e-02,3.778356367993153953e+01
3.268513559569058913e+01,1.001548244930450769e-02,3.779626714315285341e+01
3.268857689958482382e+01,1.065784430550009449e-03,3.778673600768058094e+01
3.268057815492785778e+01,3.428992518674624582e-03,3.779393435432352533e+01
3.269219785380096255e+01,7.279227796060583865e-03,3.778003735454294088e+01
3.270657412695820199e+01,7.493732033486848187e-03,3.777642372662388937e+01
3.269149756414162766e+01,-2.855957629945649143e-03,3.779872129903297662e+01
3.267895051915945714e+01,-2.369527142527773616e-03,3.779382434919079969e+01
3.270247991427753220e+01,8.104057547927189312e-03,3.779343537187283886e+01
3.269571872490224251e+01,-1.279929182134846230e-03,3.777947137041616799e+01
3.269745545307730339e+01,-6.752940129471744768e-04,3.779564969627429605e+01
3.268704426363851212e+01,-4.525639967367688695e-04,3.779606670010589653e+01
3.267266089509074334e+01,7.479171368143581328e-03,3.776492113993094080e+01
3.269182838384874401e+01,3.896811622895221539e-03,3.778722331963783887e+01
3.269469294651035796e+01,-4.757580234424418214e-03,3.778594846838704058e+01
3.268885688508908061e+01,-4.804785059437739129e-04,3.778045379981671914e+01
3.270208066342802766e+01,-4.081911841663466052e-03,3.778712687152270888e+01
3.269763082746133165e+01,-1.120054985954347868e-02,3.777916706430239202e+01
3.270441400929926345e+01,-6.000672547943303008e-03,3.778111903845456965e+01
3.270471767532099960e+01,-5.520436245674045436e-03,3.779685847215520056e+01
3.270347039243559095e+01,-8.137518337442496740e-04,3.777807279107963723e+01
3.268416744360479953e+01,-7.649497423450151573e-03,3.778362392114528490e+01
3.271256077778798499e+01,1.841406075949930665e-03,3.779099054048661799e+01
3.268980699112847077e+01,7.524428616407717076e-03,3.778345576700777997e+01
3.269139324869230734e+01,-1.233198411307333091e-02,3.780149506058080533e+01
3.271046007522021881e+01,-1.798413566433112228e-03,3.777989628374697162e+01
3.269550145643738404e+01,-1.252932965575772641e-02,3.780082141850101607e+01
3.271110125857430972e+01,1.074402878827522036e-02,3.777623724057310994e+01
3.268901168843726879e+01,1.442118443775202395e-02,3.779487402541921170e+01
3.267319364525130254e+01,3.097753236240843259e-03,3.778948625404079564e+01
3.270047175639982129e+01,8.233751571090320090e-03,3.778009993757409291e+01
3.268814419156025508e+01,-7.781896311527814782e-03,3.777768851622222002e+01
3.269337235064016767e+01,2.084664138380015741e-03,3.777608057349904414e+01
3.268162056683942751e+01,1.737189367444264693e-02,3.779076519792926803e+01
3.268934003762359453e+01,8.341943256056331621e-03,3.779646340436782737e+01
3.269316817939802888e+01,1.342254285533295982e-02,3.779715601229138855e+01
3.268800239765623417e+01,-8.381846251049119081e-04,3.776562673150392158e+01
3.271511751100339893e+01,4.764873030471978438e-04,3.778178634328642715e+01
3.269927276046592368e+01,-3.486765590887637174e-03,3.777804631512058364e+01
