gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
2.099569710578343476e-02,3.270724751684225134e-02,-2.741217137678070639e-02
-1.596055746703347461e-02,8.016376318074343310e-03,4.237771534188330969e-02
-1.572664713975321926e-02,-3.751974323909884612e-02,5.015577367122986407e-02
4.236865429894777144e-03,1.598864370173728663e-02,1.698642312361963724e-01
-9.141847745662116942e-03,-4.040168339016249333e-02,-7.485555395670599743e-02
-3.060247038683698920e-02,5.632960680794928468e-03,-3.085622895091912066e-02
1.598131407843866782e-03,1.804405391151096480e-02,2.299691724616031649e-02
2.544634971565102113e-02,-3.927396142129988693e-02,5.738458203039169259e-02
-1.615346388555722462e-02,-1.237690478147113020e-02,9.300779274347310832e-03
-2.442470305672628239e-02,1.638328740557931651e-02,-7.355598010838405865e-02
2.621272359329152382e-02,7.109133187307986601e-02,5.670641778716493248e-02
-7.125940564948665679e-02,-5.376799537515460775e-02,3.515854683697420408e-03
1.411295688178052475e-02,8.378027568018665827e-02,3.874441405296501911e-02
2.182482625360552056e-02,3.541032345210817778e-02,-4.844480447818334812e-02
-3.370469724296613206e-02,-1.850058810788828695e-02,4.264691079231856113e-02
-1.090373699580842425e-02,6.004727972645293801e-03,5.180224819221593280e-02
5.204575900695779245e-02,-2.793281682562980678e-02,2.134375961288208223e-02
2.199826527055293024e-02,1.643774018541073120e-02,4.248084057361447251e-03
-5.555317925734199087e-03,-1.159534815865458507e-01,1.569882903450848730e-03
5.200135385458760917e-02,4.813819527614581623e-02,-2.157822646581896917e-02
-4.403617938572459284e-02,3.833598862675521423e-03,-6.584392063262549388e-02
7.820672773037950359e-03,3.571243243666398504e-02,-2.068349104150959614e-02
8.816695741361074701e-02,-1.044305363719055801e-02,-2.404908398229201397e-02
7.997967247003011371e-02,-1.999328476771214391e-02,7.225919259611952861e-02
-6.399452878274454470e-02,1.438403368373277966e-02,-1.453415640752759794e-02
-3.161908653505365180e-02,-4.620129442413909576e-02,1.256163679499511764e-02
-1.573069077242411976e-02,-5.755053567516620755e-02,-4.841311442150581651e-02
-3.742195840242812377e-02,-5.616893872935912330e-02,-8.729538397720225384e-02
-2.371761657505020576e-02,-1.884226091257982724e-02,-6.011043720078902697e-02
-2.016379422153269374e-03,-4.646117343833299634e-02,-6.436023468070363462e-02
-4.542756856364996848e-02,-6.409142058567012835e-03,-1.115019210600810134e-02
6.693348769411244792e-02,1.519903948400165052e-02,4.381813927404801939e-02
3.612052052749783332e-02,-3.673709344536064264e-02,-1.062407142984192476e-01
-4.233126979152009028e-02,-2.736306620586488950e-02,-6.697859277481112150e-02
-3.771420518492929475e-02,-2.754701765359464719e-02,-2.249487007321432017e-02
5.527802714094289666e-02,4.645790874478406690e-02,-9.036481611228325272e-02
1.088194269469405784e-01,7.167374931072356160e-03,-7.521141569320002884e-03
4.458464284430157382e-02,3.437450501094307942e-02,-1.458712854264866167e-02
-1.070341088077997466e-01,-3.673025607821101685e-02,-1.694877834030358507e-02
4.024088147029476759e-02,-1.385589498114963257e-02,-3.884347213524153020e-02
-6.449147160272888923e-02,-3.369449686718884503e-03,-4.373309371246618393e-02
-3.473115033158659382e-02,-7.966121662171606055e-02,-1.223125704329946183e-02
3.731713288665438472e-02,-3.452458523544768565e-02,5.456785761740484686e-02
3.447836859305127011e-02,7.291184847534608326e-02,-9.931089077867378493e-04
-2.386629475205080501e-03,9.994771789076463409e-03,1.298703145714016904e-02
1.800803826941299243e-02,-2.742279623672054870e-02,4.974497292951476218e-02
7.868308332245767256e-02,-9.399151015058770930e-02,8.379055469378419996e-02
-3.034382499385612254e-03,2.355267731258514630e-02,-1.166983340053954869e-02
3.683072599229147287e-02,-4.545046284681068111e-02,-5.780664434978470545e-02
-6.927131725204667412e-02,-1.592757948686877867e-02,-4.844653225009917796e-02
-8.983501415177565230e-02,2.277574042979471289e-02,-4.671688686299276536e-04
5.072354521994537624e-02,-1.213851764341145924e-02,5.311402141351730458e-03
1.582065278249937101e-03,-6.235185478820619992e-02,3.157462353525387899e-02
-7.555674047530674953e-02,-1.535359760406563960e-02,-2.558322142317571296e-02
3.968871835581114921e-02,6.839836087131735687e-02,6.130164904888620730e-02
-1.352352520427095237e-02,8.793683366761838316e-02,-1.198582913652006809e-01
8.414117394981955600e-03,1.765983366802673787e-02,-3.330273011716810422e-02
2.776396614746717059e-03,-2.455653840928436263e-02,-1.613281682518538651e-02
-3.659980949980762288e-02,1.065600125938081675e-03,-4.695498789149148838e-02
2.378160753325798960e-02,-2.289725601401130725e-02,-8.392245214818098639e-03
3.293072243579658193e-02,-2.789818537455304726e-02,3.069295513037497564e-02
-3.316051815117852103e-02,-5.730544726965652869e-02,1.103446686446741057e-02
1.136702013120813488e-02,6.218023740146448597e-02,4.755040619535016479e-03
-1.953651991497728363e-02,2.160669850087759344e-02,2.181952420837578177e-02
-2.161247935299583089e-02,-7.574611534898530174e-02,-1.762548819449409263e-02
2.409874270120734852e-02,5.836724112173983809e-04,-8.621378136113005963e-02
-1.942184313414310054e-02,4.090446673628683749e-02,-4.809261432788102669e-02
-8.408789369560336346e-02,-1.487087020211515925e-02,1.063664518998857361e-02
-6.218801810036986288e-02,1.611013963902592841e-02,-5.004887425516879595e-02
2.137589999054185022e-02,1.529706486558732488e-02,-4.030217075829500145e-02
-2.134072571164402632e-02,-5.792509701270115441e-02,-6.307990805337797616e-03
4.713027461853797756e-02,4.951779407880943507e-02,1.859723991823865677e-02
-2.002639463089955427e-02,5.934663235333337630e-03,9.828623249967801540e-03
-3.090020726073848360e-03,-3.065678717045772564e-02,-1.961057300896489400e-02
-4.825722925806801011e-02,4.691548106755212555e-03,8.405831568729727268e-03
6.483125703386734273e-02,-2.396616317496945078e-02,-1.071285539198266190e-02
9.091200750276501319e-03,2.636166153583313285e-02,-5.069420490621258379e-02
-7.435327902504647660e-03,4.847538973193202955e-02,-9.381930516520257252e-03
-3.570693786010206705e-02,6.237987148207090049e-02,-3.924420526854202271e-03
-1.998873354742010042e-02,1.796584114913458193e-04,-5.484825302380739185e-04
9.561980877085292721e-03,-2.457738244226925078e-02,3.446859925879292713e-02
8.635805988959636970e-02,-3.798547450234544820e-02,-4.600795635312306640e-03
-2.382366742387473021e-02,8.362336151540671059e-02,3.776191572755002723e-02
1.898379699751417612e-02,-2.294663845475024277e-02,2.768747579107260284e-02
1.886004190275253692e-02,1.544536563780806934e-02,1.549466687989284504e-02
-2.605024996355020592e-02,-2.161027582408867054e-02,3.578524928547902051e-02
4.281639507171795811e-02,1.461374761961658011e-02,-1.089226008315261757e-02
7.085925380531982176e-02,-1.096809892403663965e-02,-9.528372596748371434e-03
-5.741613760099656405e-02,3.536300423458162839e-02,-4.852856900460555088e-03
1.708633160511887836e-02,1.546069865996798492e-02,3.340291995729396946e-02
2.171919283179373633e-03,-9.772549605427538130e-03,-2.040785377784826854e-02
4.179147926326468726e-02,5.752150243887732550e-02,8.363555474378105148e-02
-4.701287690451144002e-02,9.584482996726819207e-03,-1.654442773086399823e-02
-7.703700750941218367e-02,5.245981637024753341e-02,1.232182577204377939e-02
1.108316353144719879e-02,3.218806767052126427e-02,7.425241220837827671e-02
5.044165869626312387e-02,1.727623194782805863e-02,-1.696857605836611313e-02
-3.037515752004757083e-02,3.060530448608491522e-02,7.867281128562508830e-02
4.345972534032281967e-03,4.412478363663195624e-02,-3.530634608304706462e-02
4.470953404312156404e-02,-7.788197885246371521e-02,-5.010948342060470712e-02
-2.462903506081995028e-02,-3.835783458173344651e-02,4.027956825426018406e-02
-4.715412173484050812e-02,-2.942499356309962941e-02,8.531882644960642192e-02
3.296861615132782447e-02,5.534576199158062343e-02,-2.005164846692341490e-02
3.288476471442302977e-03,5.156546169919556249e-02,7.743481693761522511e-02
6.040546163166449906e-02,3.760885505316770034e-03,4.127233624984309214e-03
8.847614028082190218e-02,-7.444669348814790533e-03,1.767043579657605334e-02
-3.189945155182821474e-03,-3.123659265310063660e-02,-3.655695133033163430e-02
-2.333153049942176399e-02,-1.159108592112722061e-02,1.178746855091504231e-01
-2.663544877677623615e-02,-2.827965495401199916e-02,2.054580837360272388e-02
2.003325760819988505e-02,2.254806715214833709e-02,2.740253997716178211e-02
2.252517070812650249e-02,-2.735966467239270977e-03,-4.166207813996349041e-02
-5.906246353165622159e-02,1.104516195958079629e-02,-3.717963101928441899e-02
1.993894296918964290e-02,5.215302987862548145e-02,1.181397992669828631e-02
-1.384049554998605623e-02,7.423836264702944610e-02,-1.390767282040293318e-01
6.683753141140158331e-03,-9.519033850130012922e-03,6.269466099288470429e-02
-1.049558807925814047e-01,-5.689504451730143485e-03,-3.317374330238168773e-02
-3.313440514540037796e-02,2.764516883803052119e-02,-1.876906963309433671e-02
-2.944011785241904336e-02,2.636557397945551821e-03,4.730687243870182468e-02
2.395416809066173297e-02,-6.470936652817771244e-03,7.519569570693743210e-02
-1.121422719809713961e-02,3.551455877305273456e-02,-7.371060379054719496e-03
-4.573916456331044572e-02,1.500396208662065035e-03,-1.557544298464137895e-02
-5.506501210540127450e-03,4.502728987946226502e-02,5.975246843540288344e-02
1.485682043746118161e-02,4.896194333430322829e-03,1.048993051048126290e-01
4.986101572460877908e-03,-1.086036102405906478e-01,1.982118994799255199e-02
4.812345685249164867e-02,-2.562149130692355573e-02,7.636658212311919769e-02
6.522054967473307763e-02,9.284613130244835037e-04,-2.754248903107319596e-02
4.598345724649917365e-02,2.533682600131025378e-03,5.625796782977959820e-02
1.854769318171721124e-02,5.824767526382603616e-02,8.968550798979478544e-02
3.446464928642873488e-02,4.544224186010424604e-02,-3.979867072571581510e-02
