accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.279444821560853443e-03,-4.119933687634674997e-03,-9.788890632064999764e+00
2.211584712537881508e-03,1.316351341981683099e-03,-9.795035567322734948e+00
4.491178745383319487e-03,-6.008593813729186904e-03,-9.790801454851630226e+00
2.528067299749523541e-03,2.300284424000672776e-03,-9.798035121012929949e+00
6.791230376926195647e-03,-1.778323502349719604e-03,-9.799883468837068179e+00
-1.462481930137156166e-03,-4.314435927043125570e-03,-9.800903610493755025e+00
2.812296667049009064e-03,-5.225061448673376692e-03,-9.798233069074957058e+00
-1.177431107621468125e-02,-7.755613044150319428e-03,-9.801416717855504501e+00
6.847907559219231985e-03,6.478249555192251274e-04,-9.795980152134610819e+00
2.440954937633324669e-03,3.947661903797228776e-03,-9.792070324685896665e+00
-7.443610145018773709e-03,3.643550940894138817e-03,-9.788883389160174531e+00
2.643482905302138326e-03,1.674964860587876058e-03,-9.793670404684785780e+00
-4.831497458234827388e-03,-2.383163526496794287e-03,-9.794257583231731346e+00
9.548134184110140116e-03,-4.613342986349495446e-03,-9.803042274896974106e+00
3.100930011108917611e-03,1.965223063314024913e-04,-9.800051554021663947e+00
1.860294681623590870e-03,1.171605212863397090e-02,-9.790506953002564572e+00
-4.038977386807705676e-03,5.055597301624511174e-03,-9.796407217443922733e+00
-1.923182176970033089e-03,-7.761295972153435530e-04,-9.798334507635535928e+00
-1.297904629507564246e-03,2.740909605842352121e-03,-9.796424714235342890e+00
4.154995341056247349e-03,5.144179153268813899e-03,-9.786258730386588667e+00
1.225073014378606426e-02,-5.903587721267255194e-03,-9.798994182906890060e+00
5.058179215507831519e-03,-1.492975208297741586e-03,-9.793991398050089003e+00
1.208944566344694873e-03,-5.298562470123718317e-03,-9.792471852585592273e+00
3.538826871112077995e-03,-7.260036026983246460e-03,-9.795231224582460428e+00
-4.307514568253153001e-03,-1.048575341350002432e-04,-9.797023429994759169e+00
9.646271221943560797e-05,4.955989642772663274e-03,-9.790392545139724234e+00
-6.235254727868321141e-03,-3.943641447071114838e-03,-9.800128028993926321e+00
7.162132915448238138e-05,-1.239650072573202956e-02,-9.795173341151574675e+00
2.523360828760191216e-03,-6.748252771786953513e-03,-9.805919570589368917e+00
-2.863449754222710010e-03,5.619300719236721212e-03,-9.799437966573750103e+00
-6.516073025968904808e-03,7.476480666523827858e-04,-9.794817528605323176e+00
-9.739553713961590989e-03,1.207808846295989683e-02,-9.798141187371408378e+00
-6.426494824467767104e-03,1.016066961585055349e-02,-9.786268547652085203e+00
-5.773344647417959219e-03,1.572962145213679204e-04,-9.785839035290841537e+00
1.194524986308969370e-03,-5.996680108223969609e-03,-9.795972284640409811e+00
-3.965259961958999060e-03,-1.962628583865080531e-03,-9.795347259113086125e+00
-1.900293973984357957e-03,-3.890871248094353394e-04,-9.793739909291987900e+00
3.682295159924688435e-03,-1.507059703615130127e-04,-9.797693442312233714e+00
3.472967071786902792e-03,4.170797487543865915e-03,-9.792648905978536433e+00
2.207128373415309132e-03,6.202910541929340660e-03,-9.789380565712185955e+00
-6.559234929033419363e-04,-1.421538351534953892e-03,-9.799045933198394565e+00
-1.319892013452847804e-03,1.141843666342795723e-02,-9.786222364070987112e+00
-1.496235301391166854e-03,-1.761448023675263449e-03,-9.795387038899821874e+00
-2.866549428179488747e-03,-5.264131353875970212e-03,-9.793888457908881406e+00
4.250981739846952830e-03,4.364828012322542576e-03,-9.799293314153951329e+00
-8.061388171293152466e-03,1.508441268705018644e-03,-9.798289295871800419e+00
1.206081167831137869e-02,1.535764201051866788e-03,-9.792146072145978764e+00
5.024864228623616980e-03,-1.164456023685853374e-04,-9.795438358682567070e+00
1.120961483980391533e-03,-1.137948334740161108e-03,-9.794263350964723003e+00
1.187773703519912939e-02,1.190616656662078147e-04,-9.791045410157993345e+00
-5.748778735431588419e-03,3.752566969339071398e-03,-9.789220724981440469e+00
5.887062134686288362e-03,-2.197064854284072610e-03,-9.791884378821910317e+00
-3.706637720167915793e-03,1.099338531690382311e-03,-9.801204166321221933e+00
5.435189816056237334e-03,5.081508623337925752e-03,-9.790336533016256837e+00
-2.384824751470431253e-03,-5.181388456933784525e-03,-9.788356150765498143e+00
9.903128541349694863e-04,-9.977119573421884633e-04,-9.793795284025410552e+00
-7.445229195448900376e-03,3.650497825528105887e-03,-9.789946549046842250e+00
3.482063044599869889e-03,8.551009248720249298e-03,-9.792122116341330340e+00
-8.719244553102490801e-04,-1.472710164346996203e-03,-9.795511417258930820e+00
-7.743826599943507728e-03,8.237180025042491714e-04,-9.796414500942246306e+00
-4.126927649922087354e-03,-5.151203621566942913e-03,-9.785133137149200522e+00
1.300514807486001685e-02,-6.870121055535550851e-03,-9.792111777017170837e+00
7.347710114270634106e-03,6.686015405581198848e-03,-9.797231697026550279e+00
-6.790680297134595034e-03,1.423917081141421294e-03,-9.797313455560459516e+00
-8.573105322567018370e-04,-5.643275590945895197e-03,-9.798461964970892168e+00
-8.274584406517692531e-03,1.281461382880110227e-03,-9.798474476986962500e+00
-1.417789428141783123e-03,8.294828358502879043e-03,-9.804354758827026117e+00
3.689226392130564008e-03,4.472708628678680231e-04,-9.787848974122487888e+00
-3.133330456995687963e-03,-4.014808431328037441e-03,-9.797923550012248128e+00
3.402051672797965897e-03,1.241316861614543549e-02,-9.789959660549536480e+00
2.315727829675153730e-03,9.153460706590801910e-03,-9.799083908549125255e+00
3.276426653841796929e-03,8.364047719252025448e-03,-9.799463994338196926e+00
-4.392206173944601839e-03,-2.663720459256500080e-03,-9.789043454585778292e+00
-1.876888144338763548e-03,-5.233456457198105809e-03,-9.799200968358050545e+00
-7.385405432390097953e-03,6.533070152877824312e-03,-9.794718712322300291e+00
5.700693090162888173e-03,3.058915070690012596e-03,-9.791581547651937001e+00
4.515510235728232430e-03,9.145524047744772039e-03,-9.785558508307362402e+00
-2.288198472520180937e-03,-8.868894564866478675e-03,-9.807162945783877817e+00
-9.077647816998962726e-03,-5.711822287910124640e-03,-9.796165154233648309e+00
-2.379591018250012523e-03,6.674619795391563014e-05,-9.793903935825005291e+00
-4.262384469012277938e-03,1.530588920414953824e-04,-9.793951293194638197e+00
4.130665554204120474e-03,3.601691973245494359e-03,-9.798050620461483007e+00
-3.147645720470214434e-03,3.491885952642221746e-03,-9.792134106144258610e+00
1.419783143185623757e-02,-2.347144666647498715e-03,-9.793178650493613802e+00
-2.415038283227235062e-03,-3.182504013239367130e-03,-9.802140655686363502e+00
3.733863637538740142e-03,1.010563660528326219e-02,-9.789121920602550375e+00
4.208026602601579007e-03,2.697663415948333386e-03,-9.794986151942211450e+00
9.031051589362550092e-03,1.661589778739156267e-03,-9.790764224578660802e+00
-4.258755025202851444e-03,4.524061436689289992e-03,-9.792437837833263714e+00
-2.484535860463290419e-03,-3.717426613248164726e-03,-9.795948078171406337e+00
6.293544026769456318e-03,2.778461967800727878e-03,-9.796682244066612810e+00
-9.844115317398738439e-04,2.602539350542378612e-03,-9.798138794352833969e+00
-3.903776634679634663e-03,3.528011957641815407e-03,-9.795145288813769113e+00
-3.353528871856609195e-03,-4.952336458773182529e-03,-9.791253189211330366e+00
-4.971370281812929892e-03,-3.578587353815308476e-03,-9.793366015989635187e+00
-8.833367482032415674e-03,-5.175137101096364579e-03,-9.793702789972117628e+00
-2.481278977975287080e-03,2.880940521599022457e-03,-9.792424879753417244e+00
5.835395862357244806e-03,-5.170069936464700283e-03,-9.796253639109519185e+00
2.902999971950872508e-03,-3.639716275312161395e-03,-9.789184079282168938e+00
7.365991709667537093e-03,3.149181213730117401e-03,-9.789860293529455859e+00
-5.786139634542736103e-03,9.432586550149583624e-03,-9.797373396901541298e+00
-6.797299503457887929e-03,-9.977535879945179705e-04,-9.791387448883071443e+00
-4.175277117092974014e-03,1.609606519669222555e-03,-9.793588395679652336e+00
-2.715146103767253783e-03,2.458396130274726182e-03,-9.789560998186306762e+00
4.613390347808763760e-03,-1.063205153768387572e-03,-9.788085335462740844e+00
2.204615228097092910e-03,7.418676714916602397e-03,-9.799873358332016338e+00
-8.611164821978217407e-03,3.007893492001970179e-03,-9.787953886825150107e+00
5.128383335345395797e-03,2.294022885429655538e-03,-9.798148075926849998e+00
-3.617579350460083370e-03,4.039149356022438651e-03,-9.799562596663790259e+00
-1.176431578624717068e-02,3.935510201300965508e-04,-9.804313745718554074e+00
5.548862622776173405e-03,3.159386225320962222e-04,-9.795515107077170214e+00
1.018495939394599252e-02,-2.827631248805961232e-03,-9.788039706795524708e+00
-5.386586959738055153e-03,-5.514379119008115671e-03,-9.796898921505547975e+00
-8.652295596792338589e-04,-1.850104624984696793e-03,-9.790518397823001706e+00
-1.251827425228967550e-03,-1.003248174286603366e-02,-9.806441157457847169e+00
4.619850952967922563e-04,2.935817360121912613e-03,-9.789398880686229987e+00
3.024412039410521156e-04,1.046177361868934255e-03,-9.798599084418190941e+00
-1.819232862555212856e-03,2.386819740141179341e-03,-9.787617783353853795e+00
5.348502478423201867e-03,8.390086373722354871e-03,-9.792197674399453433e+00
-4.123836824417004797e-03,9.796899329138783474e-03,-9.801147793689585441e+00
2.440351145178734377e-03,-9.380102178604228166e-04,-9.805576374650478044e+00
-1.267027739458751606e-03,5.348041115875254263e-03,-9.802527858425351681e+00
2.811079709604375441e-03,-1.500347621694339637e-03,-9.796149540037212944e+00
4.141058698324693622e-03,-1.233156419841100436e-02,-9.793211879824983868e+00
-3.507907210926292053e-04,-1.795973662905838483e-03,-9.793204918132545345e+00
1.559782145730184005e-03,-8.762633973842502439e-04,-9.793208592287131253e+00
-1.356596949500121167e-03,-6.080052261036433640e-03,-9.801409351513784785e+00
-2.171551591623086756e-04,-2.520200555525857738e-03,-9.800804611434864810e+00
