gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707024320924830623e+06,4.688715380020945333e+06,3.360425231557574123e+06,6.013155140224666489e-02,-4.766737456164768516e-02,2.047963365954448469e-03
-2.707023473778692540e+06,4.688718575432675891e+06,3.360425260867318138e+06,-1.164390407928796861e-02,-2.778380087012534763e-02,-1.526387482134841656e-02
-2.707029817664528731e+06,4.688708051701067016e+06,3.360431469310291111e+06,3.926795790852621176e-02,-7.756333745660337620e-02,-4.470795125645599111e-02
-2.707017233676754870e+06,4.688714181586580351e+06,3.360439090188276488e+06,2.869664326488060788e-02,-1.449285568204916087e-02,-7.237243667392222407e-04
-2.707028419131654780e+06,4.688714067638860084e+06,3.360433557915849146e+06,9.079213558026916209e-02,-7.488667851208070242e-03,3.617673073298124237e-02
-2.707025662697869353e+06,4.688711266279811040e+06,3.360429512790929526e+06,5.258265751068241095e-02,3.864460861133540981e-02,3.175646494107661755e-02
-2.707027463288845494e+06,4.688712685911245644e+06,3.360441351960192434e+06,1.923433096443653845e-02,-1.079547458741193094e-02,4.120808119218338783e-02
-2.707034160841362551e+06,4.688721512691356242e+06,3.360432660450651310e+06,-1.048303607294374723e-03,-2.579174737816816373e-02,3.874411400277055773e-02
-2.707025404437080491e+06,4.688709971834063530e+06,3.360417620613359381e+06,-1.369831352038752663e-02,1.102135705883030420e-02,-1.153930825595519405e-01
-2.707027981383067556e+06,4.688712636261831038e+06,3.360439379900307860e+06,-7.059608737480119189e-02,-8.673479272059461676e-02,6.028693435574673798e-02
-2.707028804634954780e+06,4.688716849707166664e+06,3.360428651236264966e+06,-7.693789788026789145e-02,-3.084292241213603195e-02,-1.685729650832971938e-02
-2.707023261474762112e+06,4.688707629588881508e+06,3.360428543589068111e+06,-1.816040665081783065e-02,-3.878081551395661138e-03,-6.127663707217987504e-02
-2.707034207619117573e+06,4.688703814167174511e+06,3.360429028459557332e+06,-1.355846835963443568e-02,8.915020703132338353e-02,-5.402046877996390800e-02
-2.707030104437685106e+06,4.688705243137330748e+06,3.360429711985665374e+06,2.744451557426945063e-03,2.930433804322434346e-02,-1.118330502156319496e-02
-2.707022537012657151e+06,4.688712925271104090e+06,3.360422431145325769e+06,-7.696838554856964831e-02,-4.929565095498639714e-03,3.336034672732203152e-03
